GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.letrasypapeles.backend.service,SucursalService,0,23,0,0,0,6,0,5,0,5
backend,com.letrasypapeles.backend.service,RoleService,0,23,0,0,0,6,0,5,0,5
backend,com.letrasypapeles.backend.service,NotificacionService,0,34,0,0,0,8,0,7,0,7
backend,com.letrasypapeles.backend.service,InventarioService,0,38,0,0,0,9,0,8,0,8
backend,com.letrasypapeles.backend.service,ReservaService,0,92,1,7,0,20,1,13,0,10
backend,com.letrasypapeles.backend.service,ClienteService,0,179,0,12,0,36,0,17,0,11
backend,com.letrasypapeles.backend.service,ProductoService,0,23,0,0,0,6,0,5,0,5
backend,com.letrasypapeles.backend.service,PedidoService,0,33,0,0,0,8,0,7,0,7
backend,com.letrasypapeles.backend.service,UsuarioService,0,74,0,0,0,14,0,6,0,6
backend,com.letrasypapeles.backend.service,CategoriaService,0,23,0,0,0,6,0,5,0,5
backend,com.letrasypapeles.backend.service,ProveedorService,0,23,0,0,0,6,0,5,0,5
backend,com.letrasypapeles.backend.exception,GlobalExceptionHandler,0,30,0,0,0,8,0,3,0,3
backend,com.letrasypapeles.backend.security,JwtAuthenticationFilter,0,109,2,12,0,30,2,7,0,2
backend,com.letrasypapeles.backend.security,JwtTokenUtil,1,91,2,2,0,24,2,8,0,8
backend,com.letrasypapeles.backend.security,SecurityConfig,0,128,0,0,0,22,0,10,0,10
backend,com.letrasypapeles.backend.security,JwtUtil,2,126,2,4,1,34,2,11,0,10
backend,com.letrasypapeles.backend.controller,AuthController.LoginRequest,20,104,13,9,0,3,11,10,0,10
backend,com.letrasypapeles.backend.controller,ProductoController,0,74,0,0,0,19,0,8,0,8
backend,com.letrasypapeles.backend.controller,PedidoController,0,82,0,0,0,21,0,9,0,9
backend,com.letrasypapeles.backend.controller,NotificacionController,0,60,0,0,0,16,0,7,0,7
backend,com.letrasypapeles.backend.controller,ClienteController,0,86,0,0,0,23,0,9,0,9
backend,com.letrasypapeles.backend.controller,AuthController,0,82,0,2,0,19,0,4,0,3
backend,com.letrasypapeles.backend.controller,RoleController,0,49,0,0,0,13,0,6,0,6
backend,com.letrasypapeles.backend.controller,ProveedorController,0,74,0,0,0,19,0,8,0,8
backend,com.letrasypapeles.backend.controller,ReservaController,0,82,0,0,0,21,0,9,0,9
backend,com.letrasypapeles.backend.controller,AuthController.LoginResponse,13,68,8,6,0,2,7,8,0,8
backend,com.letrasypapeles.backend.controller,TestController,0,11,0,0,0,5,0,5,0,5
backend,com.letrasypapeles.backend.controller,InventarioController,16,74,0,0,4,19,2,8,2,8
backend,com.letrasypapeles.backend.controller,AuthController.RegisterRequest,41,212,28,18,0,6,23,16,0,16
backend,com.letrasypapeles.backend.controller,SucursalController,0,74,0,0,0,19,0,8,0,8
backend,com.letrasypapeles.backend.controller,CategoriaController,0,74,0,0,0,19,0,8,0,8
backend,com.letrasypapeles.backend.entity,Role,6,92,1,13,0,7,2,16,1,10
backend,com.letrasypapeles.backend.entity,Cliente,13,346,11,51,0,16,10,45,0,24
backend,com.letrasypapeles.backend.entity,Producto,19,347,14,50,0,15,13,41,0,22
backend,com.letrasypapeles.backend.entity,Notificacion,2,214,1,37,0,8,1,33,0,15
backend,com.letrasypapeles.backend.entity,Sucursal.SucursalBuilder,0,45,0,0,0,1,0,7,0,7
backend,com.letrasypapeles.backend.entity,Reserva,25,272,16,34,0,13,15,30,0,20
backend,com.letrasypapeles.backend.entity,Pedido.PedidoBuilder,15,42,0,0,0,1,1,7,1,7
backend,com.letrasypapeles.backend.entity,Producto.ProductoBuilder,19,56,0,0,0,1,1,9,1,9
backend,com.letrasypapeles.backend.entity,Inventario,27,332,17,37,0,28,16,34,0,23
backend,com.letrasypapeles.backend.entity,Proveedor.ProveedorBuilder,8,28,0,0,0,1,1,5,1,5
backend,com.letrasypapeles.backend.entity,Sucursal,2,212,1,37,0,8,1,33,0,15
backend,com.letrasypapeles.backend.entity,Reserva.ReservaBuilder,17,49,0,0,0,1,1,8,1,8
backend,com.letrasypapeles.backend.entity,Categoria.CategoriaBuilder,0,27,0,0,0,1,0,5,0,5
backend,com.letrasypapeles.backend.entity,Cliente.ClienteBuilder,17,56,0,0,0,1,1,9,1,9
backend,com.letrasypapeles.backend.entity,Role.RoleBuilder,5,23,0,0,0,1,1,4,1,4
backend,com.letrasypapeles.backend.entity,Notificacion.NotificacionBuilder,0,47,0,0,0,1,0,7,0,7
backend,com.letrasypapeles.backend.entity,Proveedor,7,164,6,24,0,7,5,23,0,13
backend,com.letrasypapeles.backend.entity,Categoria,2,126,1,21,0,6,1,21,0,11
backend,com.letrasypapeles.backend.entity,Pedido,9,251,8,38,0,9,7,33,0,17
backend,com.letrasypapeles.backend.entity,Inventario.InventarioBuilder,18,56,0,0,0,1,1,9,1,9
backend,com.letrasypapeles.backend,BackendApplication,0,8,0,0,0,3,0,2,0,2
